"Category","English","Khmer","Phonetic","AudioFile","Visible"
"Essentials","Hello","ជំរាបសួរ","chomreabsuor","01 Essentials\Hello (chomreabsuor).mp3","true"
"Essentials","Hi","សួស្តី","suostei","01 Essentials\Hi (suostei).mp3","true"
"Essentials","Good evening","ទិវាសួស្តី","tivea suostei","01 Essentials\Good evening (tivea suostei).mp3","false"
"Essentials","Goodbye","លាហើយ","leahaey","01 Essentials\Goodbye (leahaey).mp3","false"
"Essentials","Goodbye","លាសិនហើយ","leahaey","01 Essentials\Goodbye (leahaey) 2.mp3","false"
"Essentials","See you later","ជួប​គ្នា​ពេល​ក្រោយ","chuob​ knea​ pel kraoy","01 Essentials\See you later (chuob​ knea​ pel kraoy).mp3","false"
"Essentials","See you later","ជួបគ្នាលើកក្រោយ","chuob​ knea​ leuk kraoy","01 Essentials\See you later (chuob​ knea​ leuk kraoy).mp3","false"
"Essentials","Yes","ចាស","chars","01 Essentials\Yes (chars).mp3","true"
"Essentials","Yes","បាទ","bat","01 Essentials\Yes (bat).mp3","true"
"Essentials","No","ទេ","te","01 Essentials\No (te).mp3","false"
"Essentials","No","អត់ទេ","at te","01 Essentials\No (at te).mp3","false"
"Essentials","Excuse me!","សូម!","saum!","01 Essentials\Excuse me! (saum!).mp3","false"
"Essentials","Excuse me!","សូមមេត្តា!","saum meta!","01 Essentials\Excuse me! (saum meta!).mp3","true"
"Essentials","Thanks","សូមអរគុណ","saum arkun","01 Essentials\Thanks (saum arkun).mp3","false"
"Essentials","Thanks","អរគុណ","arkun","01 Essentials\Thanks (arkun).mp3","false"
"Essentials","Thanks a lot","អរគុណច្រើន","arkun chraen","01 Essentials\Thanks a lot (arkun chraen).mp3","true"
"Essentials","Thanks a lot","អរគុណណាស់","arkun nas","01 Essentials\Thanks a lot (arkun nas).mp3","false"
"Essentials","Thank you for your help","អរគុណ​ដែលបានជួយ","arkun​ del ban chhuou","01 Essentials\Thank you for your help (arkun​ del ban chhuou).mp3","false"
"Essentials","You’re welcome","មិនអីទេ","min ey te","01 Essentials\You’re welcome (min ey te).mp3","false"
"Essentials","You’re welcome","កុំរំលឹកអី","kom rum leuk ey","01 Essentials\You’re welcome (kom rum leuk ey).mp3","false"
"Essentials","Okay","យល់ព្រម","yolprom","01 Essentials\Okay (yolprom).mp3","false"
"Essentials","How much is it?","តើ​ថ្លៃប៉ុន្មាន?","tae​ tlai ponman?","01 Essentials\How much is it (tae​ tlai ponman).mp3","true"
"Essentials","Sorry!","សុំទោស!","somtos!","01 Essentials\Sorry! (somtos!).mp3","true"
"Essentials","Sorry!","សុំអភ័យទោស!","som aphey tos!","01 Essentials\Sorry! (som aphey tos!).mp3","false"
"Essentials","I don't understand","ខ្ញុំមិនយល់ទេ","khnhom min yol te","01 Essentials\I don't understand (khnhom min yol te).mp3","true"
"Essentials","I get it","ខ្ញុំទទួលបាន។","khnhom tortuol ban","01 Essentials\I get it (khnhom tortuol ban).mp3","false"
"Essentials","I get it","ខ្ញុំទទួលបានហើយ","khnhom tortuol ban haey","01 Essentials\I get it (khnhom tortuol ban haey).mp3","false"
"Essentials","I don't know","ខ្ញុំមិនដឹងទេ","khnhom mindoeng te","01 Essentials\I don't know (khnhom mindoeng te).mp3","true"
"Essentials","Forbidden","ហាមឃាត់","hamkhoit","01 Essentials\Forbidden (hamkhoit).mp3","false"
"Essentials","Excuse me, where are the toilets?","សុំទោស តើបង្គន់នៅឯណា?","somtos tae bangkon nov ena?","01 Essentials\Excuse me, where are the toilets (somtos tae bangkon nov ena).mp3","true"
"Essentials","Happy New Year!","សួស្តី​ឆ្នាំ​ថ្មី!","susdey​ chhnam​ thmei!","01 Essentials\Happy New Year! (susdey​ chhnam​ thmei!).mp3","false"
"Essentials","Happy New Year!","រីករាយឆ្នាំថ្មី!","rikreay​ chhnam​ thmei!","01 Essentials\Happy New Year! (rikreay​ chhnam​ thmei!).mp3","false"
"Essentials","Happy Birthday!","ជូនពរថ្ងៃកំណើត!","chhuonpor​ thngai​ kamnaeut!","01 Essentials\Happy Birthday! (chhuonpor​ thngai​ kamnaeut!).mp3","false"
"Essentials","Happy Birthday!","រីករាយថ្ងៃកំណើត!","rikreay thngai​ kamnaeut!","01 Essentials\Happy Birthday! (rikreay thngai​ kamnaeut!).mp3","false"
"Essentials","Happy Holidays!","រីករាយថ្ងៃឈប់សម្រាក!","rikreay thngai chhub samrak!","01 Essentials\Happy Holidays! (rikreay thngai chhub samrak!).mp3","false"
"Essentials","Congratulations!","អបអរសាទរ!","orb or sator!","01 Essentials\Congratulations! (orb or sator!).mp3","false"
"Essentials","Congratulations!","អបអរសាទរ!","orb or sator!","01 Essentials\Congratulations! (orb or sator!) 2.mp3","false"
"Conversation","Hello. How are you?","ជម្រាបសួរ។ តើអ្នក​សុខសប្បាយ​?","chomreabsuor tae nak​ soksabay​?","02 Conversation\Hello. How are you (chomreabsuor tae nak​ soksabay​).mp3","false"
"Conversation","Hello. How are you?","ជម្រាបសួរ។ អ្នកសុខសប្បាយទេ?","chomreabsuor nak​ soksabay​ te?","02 Conversation\Hello. How are you (chomreabsuor nak​ soksabay​ te).mp3","false"
"Conversation","Hello. I'm fine, thank you","ជម្រាបសួរ។ ខ្ញុំ​សុខសប្បាយ​ជាទេ​អគុណ","chomreabsuor khnhom​ sokhasabay​ chea te arkun","02 Conversation\Hello. I'm fine, thank you (chomreabsuor khnhom​ sokhasabay​ chea te arkun).mp3","false"
"Conversation","Hello. I'm fine, thank you","ជម្រាបសួរ។ ខ្ញុំសុខសប្បាយអរគុណ","chomreabsuor khnhom​ sokhasabay​ arkun","02 Conversation\Hello. I'm fine, thank you (chomreabsuor khnhom​ sokhasabay​ arkun).mp3","false"
"Conversation","Only a little bit","តែបន្តិច","teh bantich","02 Conversation\Only a little bit (teh bantich).mp3","true"
"Conversation","Only a little bit","តែបន្តិចទេ","teh bantich","02 Conversation\Only a little bit (teh bantich) 2.mp3","false"
"Conversation","Which country are you from?","តើ​អ្នក​មកពីណា?","tae​ nak​ mok pina?","02 Conversation\Which country are you from (tae​ nak​ mok pina).mp3","false"
"Conversation","Which country are you from?","តើអ្នកមកពីណាដែរ?","tae​ nak​ mok pina deh?","02 Conversation\Which country are you from (tae​ nak​ mok pina deh).mp3","true"
"Conversation","What is your nationality?","តើ​អ្នក​មាន​សញ្ជាតិ​អ្វី?","tae​ nak​ mean​ sanhcheat​ avei?","02 Conversation\What is your nationality (tae​ nak​ mean​ sanhcheat​ avei).mp3","false"
"Conversation","What is your nationality?","តើអ្នកមានសញ្ជាតិអ្វីដែរ?","tae​ nak​ mean​ sanhcheat​ avei deh?","02 Conversation\What is your nationality (tae​ nak​ mean​ sanhcheat​ avei deh).mp3","true"
"Conversation","And you, do you live here?","ហើយអ្នក តើអ្នករស់នៅទីនេះ?","haey nak tae nak ros nov tinih?","02 Conversation\And you, do you live here (haey nak tae nak ros nov tinih).mp3","false"
"Conversation","And you, do you live here?","ចុះអ្នកវិញ តើអ្នករស់នៅទីនេះឬ?","chos nak vinh tae nak ros nov tinih reu?","02 Conversation\And you, do you live here (chos nak vinh tae nak ros nov tinih reu).mp3","false"
"Conversation","Yes, I live here","ចាស ខ្ញុំរស់នៅទីនេះ","chars khnhom ros nov tinih","02 Conversation\Yes, I live here (chars khnhom ros nov tinih).mp3","false"
"Conversation","Yes, I live here","បាទ ខ្ញុំរស់នៅទីនេះ","bat khnhom ros nov tinih","02 Conversation\Yes, I live here (bat khnhom ros nov tinih).mp3","false"
"Conversation","My name is Sarah, what's your name?","ខ្ញុំឈ្មោះសារ៉ា តើអ្នកឈ្មោះអ្វី?","khnhom chhmoh sara tae nak chhmoh avei?","02 Conversation\My name is Sarah, what's your name (khnhom chhmoh sara tae nak chhmoh avei).mp3","false"
"Conversation","My name is Sarah, what's your name?","ខ្ញុំឈ្មោះសារ៉ា តើអ្នកមានឈ្មោះអ្វី?","khnhom chhmoh sara tae nak mean chhmoh avei?","02 Conversation\My name is Sarah, what's your name (khnhom chhmoh sara tae nak mean chhmoh avei).mp3","false"
"Conversation","What are you doing here?","តើ​អ្នក​កំពុង​ធ្វើអ្វី​នៅ​ទីនេះ?","tae​ nak​ kampong​ thveu avei​ nov tinih?","02 Conversation\What are you doing here (tae​ nak​ kampong​ thveu avei​ nov tinih).mp3","false"
"Conversation","I am on holiday","ខ្ញុំដើរលេងថ្ងៃឈប់សម្រាក","khnhom deu leing thngai chhub samrak","02 Conversation\I am on holiday (khnhom deu leing thngai chhub samrak).mp3","false"
"Conversation","We are on holiday","យើងដើរលេងថ្ងៃឈប់សម្រាក","yeung deu leing thngai chhub samrak","02 Conversation\We are on holiday (yeung deu leing thngai chhub samrak).mp3","false"
"Conversation","I am on a business trip","ខ្ញុំធ្វើដំណើរមករកស៊ី","khnhom tveu domneu mok roksi","02 Conversation\I am on a business trip (khnhom tveu domneu mok roksi).mp3","false"
"Conversation","I am on a business trip","ខ្ញុំធ្វើដំណើរមករកស៊ី","khnhom tveu domneu mok roksi","02 Conversation\I am on a business trip (khnhom tveu domneu mok roksi) 2.mp3","false"
"Conversation","I work here","ខ្ញុំធ្វើការនៅទីនេះ","khnhom thveukar nov tinih","02 Conversation\I work here (khnhom thveukar nov tinih).mp3","false"
"Conversation","I work here","ខ្ញុំធ្វើការនៅកន្លែងនេះ","khnhom thveukar nov kanleng nih","02 Conversation\I work here (khnhom thveukar nov kanleng nih).mp3","false"
"Conversation","We work here","យើងធ្វើការនៅទីនេះ","yeung thveukar nov tinih","02 Conversation\We work here (yeung thveukar nov tinih).mp3","false"
"Conversation","We work here","យើងធ្វើការនៅកន្លែងនេះ","yeung thveukar nov kanleng nih","02 Conversation\We work here (yeung thveukar nov kanleng nih).mp3","false"
"Conversation","What are the good places to eat?","តើមានកន្លែង​ណា​ល្អ​សម្រាប់​ដើរ​លេង និង​ញ៉ាំ​អីទេ?","tae mean kanleng​ na​ laor​ samrab​ daer​ leng​ ning nham ei te?","02 Conversation\What are the good places to eat (tae mean kanleng​ na​ laor​ samrab​ daer​ leng​ ning nham ei te).mp3","false"
"Conversation","What are the good places to eat?","តើមានកន្លែងល្អសម្រាប់ដើរលេង និងញ៉ាំអីដែរឬទេ?","tae mean kanleng​ laor​ samrab​ daer​ leng​ ning nham ei deh reu te?","02 Conversation\What are the good places to eat (tae mean kanleng​ laor​ samrab​ daer​ leng​ ning nham ei deh reu te).mp3","false"
"Conversation","Is there a museum in the neighbourhood?","តើ​មាន​សារមន្ទីរ​នៅ​​ក្បែនេះទេ?","tae​ mean​ saral montir​ nov​ kbeh nih​ te?","02 Conversation\Is there a museum in the neighbourhood (tae​ mean​ saral montir​ nov​ kbeh nih​ te).mp3","false"
"Conversation","Is there a museum in the neighbourhood?","តើមានសារមន្ទីរនៅម្តុំនេះដែរឬទេ?","tae​ mean​ sarak montir​ nov​ mdom nih​ deh reu te?","02 Conversation\Is there a museum in the neighbourhood (tae​ mean​ sarak montir​ nov​ mdom nih​ deh reu te).mp3","false"
"Conversation","Where could I get an internet connection?","តើខ្ញុំអាចភ្ជាប់អ៊ីនធឺណិតបាននៅកន្លែងណា?","tae khnhom arch phchhoib internet ban nov kanleng na?","02 Conversation\Where could I get an internet connection (tae khnhom arch phchhoib internet ban nov kanleng na).mp3","false"
"Conversation","Where could I get an internet connection?","តើខ្ញុំអាចរកកន្លែងភ្ជាប់អ៊ីនធឺណិតបាននៅឯណា?","tae khnhom arch phchhoib internet ban nov ena?","02 Conversation\Where could I get an internet connection (tae khnhom arch phchhoib internet ban nov ena).mp3","false"
"Learning","Do you want to learn a few words?","តើអ្នកចង់រៀនពាក្យខ្លះៗទេ?","tae nak chang rien piek klas klas te?","03 Learning\Do you want to learn a few words (tae nak chang rien piek klas klas te).mp3","false"
"Learning","Do you want to learn a few words?","តើអ្នកចង់រៀនពីបីពាក្យទេ?","tae nak chang rien pirbei piek te?","03 Learning\Do you want to learn a few words (tae nak chang rien pirbei piek te).mp3","false"
"Learning","Yes, sure!","បាទ ប្រាកដហើយ!","bart brakad haey!","03 Learning\Yes, sure! (bart brakad haey!).mp3","false"
"Learning","What's  this called?","តើនេះហៅថាអ្វី?","tae nih hawtha avei?","03 Learning\What's  this called (tae nih hawtha avei).mp3","false"
"Learning","It's a table","វាជាតុមួយ","vea chea tok muoy","03 Learning\It's a table (vea chea tok muoy).mp3","false"
"Learning","It's a table","វាគឺតុមួយ","vea keu tok muoy","03 Learning\It's a table (vea keu tok muoy).mp3","false"
"Learning","A table. Do you understand?","តុ។ តើ​អ្នក​យល់​ទេ?","tok tae​ nak​ yol​ te?","03 Learning\A table. Do you understand (tok tae​ nak​ yol​ te).mp3","false"
"Learning","A table. Do you understand?","តុ។ តើអ្នកយល់ដែរឬទេ?","tok tae​ nak​ yol deh reu​ te?","03 Learning\A table. Do you understand (tok tae​ nak​ yol deh reu​ te).mp3","false"
"Learning","Can you repeat please?","តើអ្នកអាចនិយាយឡើងវិញបានទេ?","tae nak arch niyeay laengvinh ban te?","03 Learning\Can you repeat please (tae nak arch niyeay laengvinh ban te).mp3","true"
"Learning","Can you repeat please?","តើអ្នកអាចថាម្តងទៀតបានទេ?","tae nak arch tha mdong tiet ban te?","03 Learning\Can you repeat please (tae nak arch tha mdong tiet ban te).mp3","false"
"Learning","Could you talk a bit more slowly, please ?","តើអ្នកអាចនិយាយយឺតជាងនេះបន្តិចបានទេ?","tae nak arch niyeay yeut cheangnih bantich ban te?","03 Learning\Could you talk a bit more slowly, please (tae nak arch niyeay yeut cheangnih bantich ban te).mp3","true"
"Learning","Could you talk a bit more slowly, please ?","តើអ្នកអាចនិយាយយឺតបន្តិចបានទេ?","tae nak arch niyeay yeut bantich ban te?","03 Learning\Could you talk a bit more slowly, please (tae nak arch niyeay yeut bantich ban te).mp3","false"
"Learning","Could you write it down, please?","តើអ្នកអាចសរសេរវាចុះបានទេ?","tae nak arch sarser vea choh ban te?","03 Learning\Could you write it down, please (tae nak arch sarser vea choh ban te).mp3","false"
"Learning","Could you write it down, please?","តើអ្នកអាចសរសេរបានទេ?","tae nak arch sarser ban te?","03 Learning\Could you write it down, please (tae nak arch sarser ban te).mp3","false"
"Learning","I don't understand","ខ្ញុំមិនយល់ទេ","khnhom min yol te","03 Learning\I don't understand (khnhom min yol te).mp3","true"
"Learning","I get it","ខ្ញុំទទួលបាន។","khnhom tortuol ban","03 Learning\I get it (khnhom tortuol ban).mp3","false"
"Learning","I get it","ខ្ញុំទទួលបានហើយ","khnhom tortuol ban haey","03 Learning\I get it (khnhom tortuol ban haey).mp3","false"
"Colours","I like the colour of this table","ខ្ញុំចូលចិត្តពណ៌តុនេះ","khnhom chaulchet por tok nih","04 Colours\I like the colour of this table (khnhom chaulchet por tok nih).mp3","false"
"Colours","I like the colour of this table","ខ្ញុំចូលចិត្តពណ៌តុមួយនេះ","khnhom chaulchet por tok muoy nih","04 Colours\I like the colour of this table (khnhom chaulchet por tok muoy nih).mp3","false"
"Colours","It's red","វាមានពណ៌ក្រហម","vea mean por kraham","04 Colours\It's red (vea mean por kraham).mp3","false"
"Colours","Blue","ពណ៌ខៀវ","por khiev","04 Colours\Blue (por khiev).mp3","false"
"Colours","Blue","ខៀវ","khiev","04 Colours\Blue (khiev).mp3","false"
"Colours","Yellow","ពណ៌លឿង","por lueng","04 Colours\Yellow (por lueng).mp3","false"
"Colours","White","ពណ៌ស","por saw","04 Colours\White (por saw).mp3","false"
"Colours","White","ស","saw","04 Colours\White (saw).mp3","false"
"Colours","Black","ពណ៌ខ្មៅ","por khmaw","04 Colours\Black (por khmaw).mp3","false"
"Colours","Green","ពណ៌បៃតង","por baitang","04 Colours\Green (por baitang).mp3","false"
"Colours","Green","បៃតង","baitang","04 Colours\Green (baitang).mp3","false"
"Colours","Orange","ពណ៌ទឹកក្រូច","por teuk krauch","04 Colours\Orange (por teuk krauch).mp3","false"
"Colours","Orange","ពណ៌ទឹកក្រូច","por teuk krauch","04 Colours\Orange (por teuk krauch) 2.mp3","false"
"Colours","Purple","ពណ៌ស្វាយ","por svay","04 Colours\Purple (por svay).mp3","false"
"Colours","Purple","ពណ៌ស្វាយ","por svay","04 Colours\Purple (por svay) 2.mp3","false"
"Colours","Grey","ពណ៌ប្រផេះ","por brapheh","04 Colours\Grey (por brapheh).mp3","false"
"Colours","Grey","ប្រផេះ","brapheh","04 Colours\Grey (brapheh).mp3","false"
"Numbers","Zero","សូន្យ","saun","05 Numbers\Zero (saun).mp3","false"
"Numbers","One","មួយ","muoy","05 Numbers\One (muoy).mp3","false"
"Numbers","Two","ពីរ","pir","05 Numbers\Two (pir).mp3","false"
"Numbers","Three","បី","bei","05 Numbers\Three (bei).mp3","false"
"Numbers","Four","បួន","buon","05 Numbers\Four (buon).mp3","false"
"Numbers","Five","ប្រាំ","bram","05 Numbers\Five (bram).mp3","false"
"Numbers","Six","ប្រាំមួយ","bramuoy","05 Numbers\Six (bramuoy).mp3","false"
"Numbers","Seven","ប្រាំពីរ","brapir","05 Numbers\Seven (brapir).mp3","false"
"Numbers","Eight","ប្រាំបី","brabei","05 Numbers\Eight (brabei).mp3","false"
"Numbers","Nine","ប្រាំបួន","brabuon","05 Numbers\Nine (brabuon).mp3","false"
"Numbers","Ten","ដប់","dob","05 Numbers\Ten (dob).mp3","false"
"Numbers","Eleven","ដប់មួយ","dobmuoy","05 Numbers\Eleven (dobmuoy).mp3","false"
"Numbers","Twelve","ដប់ពីរ","dobpir","05 Numbers\Twelve (dobpir).mp3","false"
"Numbers","Thirteen","ដប់បី","dob bei","05 Numbers\Thirteen (dob bei).mp3","false"
"Numbers","Fourteen","ដប់បួន","dob buon","05 Numbers\Fourteen (dob buon).mp3","false"
"Numbers","Fifteen","ដប់ប្រាំ","dobbram","05 Numbers\Fifteen (dobbram).mp3","false"
"Numbers","Sixteen","ដប់ប្រាំមួយ","dobbram muoy","05 Numbers\Sixteen (dobbram muoy).mp3","false"
"Numbers","Seventeen","ដប់ប្រាំពីរ","dobbram pir","05 Numbers\Seventeen (dobbram pir).mp3","false"
"Numbers","Eighteen","ដប់ប្រាំបី","dobbram bei","05 Numbers\Eighteen (dobbram bei).mp3","false"
"Numbers","Nineteen","ដប់ប្រាំបួន","dobbram buon","05 Numbers\Nineteen (dobbram buon).mp3","false"
"Numbers","Twenty","ម្ភៃ","mphei","05 Numbers\Twenty (mphei).mp3","false"
"Numbers","Twenty-one","ម្ភៃ​មួយ","mphei muoy","05 Numbers\Twenty-one (mphei muoy).mp3","false"
"Numbers","Twenty-two","ម្ភៃ​ពីរ","mphei pir","05 Numbers\Twenty-two (mphei pir).mp3","false"
"Numbers","Twenty-three","ម្ភៃ​បី","mphei bei","05 Numbers\Twenty-three (mphei bei).mp3","false"
"Numbers","Twenty-four","ម្ភៃបួន","mphei buon","05 Numbers\Twenty-four (mphei buon).mp3","false"
"Numbers","Twenty-five","ម្ភៃប្រាំ","mphei bram","05 Numbers\Twenty-five (mphei bram).mp3","false"
"Numbers","Twenty-six","ម្ភៃប្រាំ​មួយ","mpheibram muoy","05 Numbers\Twenty-six (mpheibram muoy).mp3","false"
"Numbers","Twenty-seven","ម្ភៃប្រាំ​ពីរ","mpheibram pir","05 Numbers\Twenty-seven (mpheibram pir).mp3","false"
"Numbers","Twenty-eight","ម្ភៃ​ប្រាំបី","mphei brambei","05 Numbers\Twenty-eight (mphei brambei).mp3","false"
"Numbers","Twenty-nine","ម្ភៃប្រាំ​បួន","mpheibram buon","05 Numbers\Twenty-nine (mpheibram buon).mp3","false"
"Numbers","Thirty","សាមសិប","samseb","05 Numbers\Thirty (samseb).mp3","false"
"Numbers","Thirty-one","សាមសិប​មួយ","samseb muoy","05 Numbers\Thirty-one (samseb muoy).mp3","false"
"Numbers","Thirty-two","សាមសិប​ពីរ","samseb pir","05 Numbers\Thirty-two (samseb pir).mp3","false"
"Numbers","Thirty-three","សាមសិប​បី","samseb bei","05 Numbers\Thirty-three (samseb bei).mp3","false"
"Numbers","Thirty-four","សាមសិប​បួន","samseb buon","05 Numbers\Thirty-four (samseb buon).mp3","false"
"Numbers","Thirty-five","សាមសិប​ប្រាំ","samseb bram","05 Numbers\Thirty-five (samseb bram).mp3","false"
"Numbers","Thirty-six","សាមសិប​ប្រាំមួយ","samseb bramuoy","05 Numbers\Thirty-six (samseb bramuoy).mp3","false"
"Numbers","Forty","សែសិប","sehseb","05 Numbers\Forty (sehseb).mp3","false"
"Numbers","Fifty","ហាសិប","haseb","05 Numbers\Fifty (haseb).mp3","false"
"Numbers","Sixty","ហុកសិប","hokseb","05 Numbers\Sixty (hokseb).mp3","false"
"Numbers","Seventy","ចិតសិប","chetseb","05 Numbers\Seventy (chetseb).mp3","false"
"Numbers","Eighty","ប៉ែតសិប","betseb","05 Numbers\Eighty (betseb).mp3","false"
"Numbers","Ninety","កៅសិប","kawseb","05 Numbers\Ninety (kawseb).mp3","false"
"Numbers","One hundred","មួយ​រយ","muoy roy","05 Numbers\One hundred (muoy roy).mp3","false"
"Numbers","A hundred and five","មួយរយប្រាំ","muoy roy bram","05 Numbers\A hundred and five (muoy roy bram).mp3","false"
"Numbers","Two hundred","ពីរ​រយ","pir roy","05 Numbers\Two hundred (pir roy).mp3","false"
"Numbers","Three hundred","បី​រយ","bei roy","05 Numbers\Three hundred (bei roy).mp3","false"
"Numbers","Four hundred","បួន​រយ","buon roy","05 Numbers\Four hundred (buon roy).mp3","false"
"Numbers","A thousand","មួយ​ពាន់","muoy poin","05 Numbers\A thousand (muoy poin).mp3","false"
"Numbers","A thousand five hundred","មួយពាន់ប្រាំរយ","muoy poin bram roy","05 Numbers\A thousand five hundred (muoy poin bram roy).mp3","false"
"Numbers","Two thousand","ពីរ​ពាន់","pir poin","05 Numbers\Two thousand (pir poin).mp3","false"
"Numbers","Ten thousand","មួយ​ម៉ឺន","muoy meun","05 Numbers\Ten thousand (muoy meun).mp3","false"
"Time tracking","When did you get here?","តើអ្នកមកដល់តាំងពីពេលណា?","tae nak mok dol tang pi pel na?","06 Time tracking\When did you get here (tae nak mok dol tang pi pel na).mp3","false"
"Time tracking","When did you get here?","តើអ្នកមកដល់ពេលណា?","tae nak mok dol pel na?","06 Time tracking\When did you get here (tae nak mok dol pel na).mp3","false"
"Time tracking","Today","ថ្ងៃនេះ","thngainih","06 Time tracking\Today (thngainih).mp3","false"
"Time tracking","Yesterday","ម្សិលមិញ","msel minh","06 Time tracking\Yesterday (msel minh).mp3","false"
"Time tracking","Two days ago","ពីរ​ថ្ងៃមុន","pir thngai mun","06 Time tracking\Two days ago (pir thngai mun).mp3","false"
"Time tracking","How long are you staying for?","តើអ្នកស្នាក់នៅរយៈពេលប៉ុន្មានដែរ?","tae nak snak nov royeak pel ponman deh?","06 Time tracking\How long are you staying for (tae nak snak nov royeak pel ponman deh).mp3","false"
"Time tracking","I'm leaving tomorrow","ខ្ញុំ​នឹង​ចេញ​ទៅនៅ​ថ្ងៃ​ស្អែក","khnhom​ neung​ chenh​ tov now​ thngai saek","06 Time tracking\I'm leaving tomorrow (khnhom​ neung​ chenh​ tov now​ thngai saek).mp3","false"
"Time tracking","I'll be leaving the day after tomorrow","ខ្ញុំនឹងចេញទៅថ្ងៃខានស្អែក","khnhom neung chenh tov thngai khan saek","06 Time tracking\I'll be leaving the day after tomorrow (khnhom neung chenh tov thngai khan saek).mp3","false"
"Time tracking","I'll be leaving the day after tomorrow","ខ្ញុំនឹងចេញទៅថ្ងៃខានស្អែក","khnhom neung chenh tov thngai khan saek","06 Time tracking\I'll be leaving the day after tomorrow (khnhom neung chenh tov thngai khan saek) 2.mp3","false"
"Time tracking","I'll be leaving in three days","ខ្ញុំនឹងចាកចេញទៅបីថ្ងៃទៀត","khnhom neung chakchenh nov bey thngai tiet","06 Time tracking\I'll be leaving in three days (khnhom neung chakchenh nov bey thngai tiet).mp3","false"
"Time tracking","I'll be leaving in three days","ខ្ញុំនឹងចេញទៅក្នុងរយៈពេលបីថ្ងៃទៀត","khnhom neung chenh tov royeak pel bey thngai tiet","06 Time tracking\I'll be leaving in three days (khnhom neung chenh tov royeak pel bey thngai tiet).mp3","false"
"Time tracking","Monday","ថ្ងៃច័ន្ទ","thngai chan","06 Time tracking\Monday (thngai chan).mp3","false"
"Time tracking","Tuesday","ថ្ងៃអង្គារ","thngai angkear","06 Time tracking\Tuesday (thngai angkear).mp3","false"
"Time tracking","Wednesday","ថ្ងៃពុធ","thngai puth","06 Time tracking\Wednesday (thngai puth).mp3","false"
"Time tracking","Thursday","ថ្ងៃព្រហស្បតិ៍","thngai prohas","06 Time tracking\Thursday (thngai prohas).mp3","false"
"Time tracking","Friday","ថ្ងៃសុក្រ","thngai sok","06 Time tracking\Friday (thngai sok).mp3","false"
"Time tracking","Saturday","ថ្ងៃសៅរ៍","thngai sao","06 Time tracking\Saturday (thngai sao).mp3","false"
"Time tracking","Sunday","ថ្ងៃអាទិត្យ","thngaia atit","06 Time tracking\Sunday (thngaia atit).mp3","false"
"Time tracking","January","មករា","makara","06 Time tracking\January (makara).mp3","false"
"Time tracking","February","កុម្ភៈ","kompheak","06 Time tracking\February (kompheak).mp3","false"
"Time tracking","March","មីនា","minea","06 Time tracking\March (minea).mp3","false"
"Time tracking","April","មេសា","mesa","06 Time tracking\April (mesa).mp3","false"
"Time tracking","May","ឧសភា","usaphea","06 Time tracking\May (usaphea).mp3","false"
