English,Vietnamese
"Hello (to someone younger)","Chào em"
"Hello aunt","Chào cô"
"huh","Hả"
"Is your name also Linh (to someone younger)","Em cũng tên Linh hả"
"My name is also Linh (younger speaker)","Em cũng tên Linh"
"My name is Linh (younger speaker)","Em tên Linh"
"My name is Nam (younger speaker)","Em tên Nam"
"No problem","Không sao"
"Sorry about what","Xin lỗi gì"
"Sorry aunt","Xin lỗi cô"
"Sorry because my name is not Linh","Xin lỗi vì em không tên Linh"
"Very good","Hay quá"
"What is your name (to someone younger)","Em tên gì"